,title,price,year,link,brand,age
16,2010 honda crv lx,6500,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-honda-crv-lx/7820052637.html,honda,15.0
17,2018 mercedes sprinter 2500 crew van,62800,2018.0,https://charlottesville.craigslist.org/cto/d/barboursville-2018-mercedes-sprinter/7820040769.html,missing,7.0
18,2009 bmw 328i coupe,7500,2009.0,https://charlottesville.craigslist.org/cto/d/barboursville-2009-bmw-328i-coupe/7819945910.html,bmw,16.0
19,"2019 acura tlx 2.4l – black, 81,000 miles, clean title",17300,2019.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2019-acura-tlx-24l/7819687982.html,acura,6.0
20,2000 buick lesabre custom - carplay wireless / back-up cam,4200,2000.0,https://charlottesville.craigslist.org/cto/d/crozet-2000-buick-lesabre-custom/7819583074.html,buick,25.0
21,1997 nissan pathfinder,3500,1997.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1997-nissan-pathfinder/7819380167.html,missing,28.0
22,2018 tesla model s 75d awd manufacture warranty,26900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-75d-awd/7819302933.html,tesla,7.0
23,2004 chevy silverado,3000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-chevy-silverado/7819002309.html,chevy,21.0
24,a sweet sedan avalon xle plus,24000,,https://charlottesville.craigslist.org/cto/d/charlottesville-sweet-sedan-avalon-xle/7818676493.html,missing,
25,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6700,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7818492010.html,gmc,27.0
26,gmc sierra 3500hd 6.6 duramax diesel dually,26000,,https://charlottesville.craigslist.org/cto/d/charlottesville-gmc-sierra-3500hd-66/7818481465.html,gmc,
27,2012 nissan versa sl,3200,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-nissan-versa-sl/7818255369.html,missing,13.0
28,ford e-350 2003 quigley 4x4 ambulance camper van,49500,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-ford-quigley-4x4/7818176803.html,ford,22.0
29,2012 lexus rx450h awd,10950,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-lexus-rx450h-awd/7818114210.html,lexus,13.0
30,2008 toyota rav4,4500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-rav4/7818070103.html,toyota,17.0
31,2013 toyota avalon,16500,2013.0,https://charlottesville.craigslist.org/cto/d/iron-gate-2013-toyota-avalon/7817843689.html,toyota,12.0
32,2014 subaru outback premium awd or 2009 honda fit sport,3600,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-subaru-outback/7817681802.html,subaru,11.0
33,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7817663151.html,missing,62.0
34,2017 hyundai santa fe sports,9200,2017.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2017-hyundai-santa-fe/7817612179.html,missing,8.0
35,1989 xj wrangler,4999,1989.0,https://charlottesville.craigslist.org/cto/d/white-hall-1989-xj-wrangler/7817049789.html,missing,36.0
36,2013 jeep grand cherokee - overland - 4wd (replaced motor),9500,2013.0,https://charlottesville.craigslist.org/cto/d/crozet-2013-jeep-grand-cherokee/7816766515.html,jeep,12.0
37,2004 lexus sc 430 convertible,11400,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-lexus-sc-430/7816110681.html,lexus,21.0
38,1989 chevrolet corvette convertible,3500,1989.0,https://charlottesville.craigslist.org/cto/d/scottsville-1989-chevrolet-corvette/7816061514.html,chevrolet,36.0
39,1957 chevrolet bel air 2 door hardtop,22500,1957.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1957-chevrolet-bel-air/7815898142.html,chevrolet,68.0
40,2003 ford escape,5500,2003.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2003-ford-escape/7815794939.html,ford,22.0
41,mechanic/welder special,4800,,https://charlottesville.craigslist.org/cto/d/stanardsville-mechanic-welder-special/7815534257.html,missing,
42,2014 nissan pathfinder platinum,4500,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-nissan-pathfinder/7815332321.html,missing,11.0
43,nissan frontier pickup,3800,,https://charlottesville.craigslist.org/cto/d/earlysville-nissan-frontier-pickup/7815249133.html,missing,
44,2011 bmw 335i xdrive sedan,8000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-335i-xdrive/7815195173.html,bmw,14.0
45,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7814947011.html,honda,13.0
46,1994 chevy 454 5 speed,4300,1994.0,https://charlottesville.craigslist.org/cto/d/kents-store-1994-chevy-speed/7814772437.html,chevy,31.0
47,1995 f-250,7000,1995.0,https://charlottesville.craigslist.org/cto/d/stanardsville-1995-250/7814668118.html,missing,30.0
48,1989 chevrolet cavalier,3000,1989.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1989-chevrolet-cavalier/7814450412.html,chevrolet,36.0
49,"mitsubishi eclipse gt, 2008",7300,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-mitsubishi-eclipse-gt/7814419869.html,mitsubishi,17.0
